#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
5.000000,  0.00,     3425.0,   0.9922E+28
5.000000,  0.00,     3430.0,   0.9699E+28
5.000000,  0.00,     3435.0,   0.9014E+28
5.000000,  0.00,     3440.0,   0.8378E+28
5.000000,  0.00,     3445.0,   0.8319E+28
5.000000,  0.00,     3450.0,   0.8727E+28
5.000000,  0.00,     3455.0,   0.9271E+28
5.000000,  0.00,     3460.0,   0.9583E+28
5.000000,  0.00,     3465.0,   0.9410E+28
5.000000,  0.00,     3470.0,   0.9068E+28
5.000000,  0.00,     3475.0,   0.9013E+28
5.000000,  0.00,     3480.0,   0.9148E+28
5.000000,  0.00,     3485.0,   0.9187E+28
5.000000,  0.00,     3490.0,   0.9296E+28
5.000000,  0.00,     3495.0,   0.9724E+28
5.000000,  0.00,     3500.0,   0.1036E+29
5.000000,  0.00,     3505.0,   0.1093E+29
5.000000,  0.00,     3510.0,   0.1073E+29
5.000000,  0.00,     3515.0,   0.1031E+29
5.000000,  0.00,     3520.0,   0.9687E+28
5.000000,  0.00,     3525.0,   0.9626E+28
5.000000,  0.00,     3530.0,   0.1051E+29
5.000000,  0.00,     3535.0,   0.1140E+29
5.000000,  0.00,     3540.0,   0.1185E+29
5.000000,  0.00,     3545.0,   0.1172E+29
5.000000,  0.00,     3550.0,   0.1110E+29
5.000000,  0.00,     3555.0,   0.1025E+29
5.000000,  0.00,     3560.0,   0.9569E+28
5.000000,  0.00,     3565.0,   0.8752E+28
5.000000,  0.00,     3570.0,   0.8107E+28
5.000000,  0.00,     3575.0,   0.7637E+28
5.000000,  0.00,     3580.0,   0.7129E+28
5.000000,  0.00,     3585.0,   0.7434E+28
5.000000,  0.00,     3590.0,   0.8668E+28
5.000000,  0.00,     3595.0,   0.9948E+28
5.000000,  0.00,     3600.0,   0.1082E+29
5.000000,  0.00,     3605.0,   0.1031E+29
5.000000,  0.00,     3610.0,   0.9794E+28
5.000000,  0.00,     3615.0,   0.1008E+29
5.000000,  0.00,     3620.0,   0.1075E+29
5.000000,  0.00,     3625.0,   0.1172E+29
5.000000,  0.00,     3630.0,   0.1154E+29
5.000000,  0.00,     3635.0,   0.1158E+29
5.000000,  0.00,     3640.0,   0.1216E+29
5.000000,  0.00,     3645.0,   0.1207E+29
5.000000,  0.00,     3650.0,   0.1279E+29
5.000000,  0.00,     3655.0,   0.1452E+29
5.000000,  0.00,     3660.0,   0.1534E+29
5.000000,  0.00,     3665.0,   0.1493E+29
5.000000,  0.00,     3670.0,   0.1447E+29
5.000000,  0.00,     3675.0,   0.1403E+29
5.000000,  0.00,     3680.0,   0.1327E+29
5.000000,  0.00,     3685.0,   0.1320E+29
5.000000,  0.00,     3690.0,   0.1392E+29
5.000000,  0.00,     3695.0,   0.1466E+29
5.000000,  0.00,     3700.0,   0.1457E+29
5.000000,  0.00,     3705.0,   0.1313E+29
5.000000,  0.00,     3710.0,   0.1266E+29
5.000000,  0.00,     3715.0,   0.1260E+29
5.000000,  0.00,     3720.0,   0.1130E+29
5.000000,  0.00,     3725.0,   0.1078E+29
5.000000,  0.00,     3730.0,   0.9933E+28
5.000000,  0.00,     3735.0,   0.8869E+28
5.000000,  0.00,     3740.0,   0.9133E+28
5.000000,  0.00,     3745.0,   0.9131E+28
5.000000,  0.00,     3750.0,   0.9736E+28
5.000000,  0.00,     3755.0,   0.1107E+29
5.000000,  0.00,     3760.0,   0.1131E+29
5.000000,  0.00,     3765.0,   0.1200E+29
5.000000,  0.00,     3770.0,   0.1346E+29
5.000000,  0.00,     3775.0,   0.1484E+29
5.000000,  0.00,     3780.0,   0.1532E+29
